serie,T,model,t create,t optim,rmse train,rmse test,mase test
24,200,model 1,0.0136878,8.0408124,0.775440502925672,106.0103482148332,0.2801897361130582
24,200,model 2,0.0051432,5.9536704,0.8278347200547979,2.0350724769652903e6,0.26759399598378014
24,200,model 3,0.0062107,1.9656186,0.8269062807427684,2.5639886444076556e6,0.2640113157291869
25,200,model 1,0.0132213,4.4920764,3.4893619104081695,186.35788489388054,0.10727791640616781
25,200,model 2,0.0053562,0.9286916,3.520040358822441,2.0350724769652903e6,0.12389585633352727
25,200,model 3,0.005167,0.1972798,12.053875464474363,2.5639886444076556e6,0.05761628681192904
26,200,model 1,0.0139636,48.8917917,448.8513558118575,105784.19025194127,0.12299862512125606
26,200,model 2,0.0052789,0.0527509,65225.63599517557,2.0350724769652903e6,0.22733522960981822
26,200,model 3,0.00434,0.0560637,64297.26896418957,2.5639886444076556e6,0.2233725683131171
27,200,model 1,0.0151268,26.0172081,343.9956573009855,7935.774809911817,1.1004276061539153
27,200,model 2,0.0049975,0.5072857,206.3945240574093,2.0350724769652903e6,1.7031539166398177
27,200,model 3,0.0309314,0.5037433,334.5078508019993,2.5639886444076556e6,1.2721242139400428
28,200,model 1,0.0144552,17.1792282,49.92174098350877,47.44007420254721,0.17512841461335701
28,200,model 2,0.0051734,0.7785658,9.236280758185265,2.0350724769652903e6,0.937205077289338
28,200,model 3,0.0053191,7.6757043,9.288404781540596,2.5639886444076556e6,0.4238427507878339
29,200,model 1,0.0148046,7.6100106,272.3557642381631,9874.878951377577,0.05616758352134603
29,200,model 2,0.0051422,0.3180392,406.2778566298672,2.0350724769652903e6,0.16277229754148984
29,200,model 3,0.0062702,0.3449313,275.65828606952454,2.5639886444076556e6,0.06181356132051369
30,200,model 1,0.0141698,1.867051,10.531274128175143,165.0752864837514,0.05892746195718418
30,200,model 2,0.004891,0.8846171,6.794964196725537,2.0350724769652903e6,0.07048383236015544
30,200,model 3,0.0053804,0.9637011,6.789832449878467,2.5639886444076556e6,0.0880531244471415
31,200,model 1,0.013161,26.3001652,108.97141881054088,6544.792260935792,5.681190574913652
31,200,model 2,0.0048307,0.6751017,31.60593561953376,2.0350724769652903e6,0.5359081361807734
31,200,model 3,0.0050775,0.7725082,31.649573122759364,2.5639886444076556e6,0.4842496734011165
32,200,model 1,0.0138565,33.0616441,19.281792176956365,355.36977633127145,0.16329396500529486
32,200,model 2,0.0055013,0.6379794,19.270659013486913,2.0350724769652903e6,0.10095668824325131
32,200,model 3,0.0050657,0.4126308,21.838410802830985,2.5639886444076556e6,3.274966781188868
33,200,model 1,0.0146468,8.1418946,0.775440502925672,106.0103482148332,0.2801897361130582
33,200,model 2,0.0052849,5.7409789,0.8278347200547979,2.0350724769652903e6,0.26759399598378014
33,200,model 3,0.0049003,1.884116,0.8269062807427684,2.5639886444076556e6,0.2640113157291869
34,200,model 1,0.0406483,56.3848413,17.01643240019963,1866.129645196553,0.6514320306132018
34,200,model 2,0.0047841,0.6838021,9.479385998248054,2.0350724769652903e6,0.6171130295000604
34,200,model 3,0.0052677,0.797776,9.476330792524157,2.5639886444076556e6,0.6180026553376073
35,200,model 1,0.0126663,90.1336496,0.13910684163820788,2.4036859371662613,0.0023554321622254277
35,200,model 2,0.0055133,5.8943974,0.26929779138407794,2.0350724769652903e6,0.006297739257671978
35,200,model 3,0.0052609,0.818829,2.4975660225838223,2.5639886444076556e6,0.005098265525670677
36,200,model 1,0.0154575,25.9173422,2205.6969707564826,2408.855225643216,0.7065478604932366
36,200,model 2,0.0060265,0.2368842,350.79134297029464,2.0350724769652903e6,1.673646844252928
