serie,T,modelo,t_create,t_optim,rmse_train,rmse_test,mape_train,mape_test
22,432,modelo 2,0.0156884,3.2420365,14.969387914408992,90.40687236421492,0.7619193000190019,3.14675678622771
22,432,modelo 3,0.0140977,3.1655069,14.944222793410681,93.4919679236616,0.7562066818224754,3.2866877008146416
23,233,modelo 2,0.0143634,1.3453248,25.03599144028833,1022.7841020710125,0.19950497811060813,8.572756382775056
23,233,modelo 3,0.0056013,299.9921584,25.2759624188085,555.0267416940968,0.21271921961087634,4.591882180800468
24,330,modelo 2,0.007768,1.1892527,284.2031936120132,3032.0532837238793,3.706935440427285,13.857936695973388
24,330,modelo 3,0.006371,1.5639866,282.92756273655505,2885.8970077807535,3.854973027746548,11.46127753140273
25,69,modelo 2,0.0033921,0.4730439,11.817705501448984,547.8546396491193,0.7918022202118741,103.36386107298598
25,69,modelo 3,0.0029533,0.4165937,14.273678482461,693.3529556945687,1.0429793048539189,132.52324934633688
26,355,modelo 2,0.0075936,12.3060426,6.091794436345824,17.099185517451648,0.2616329100928471,0.9903290393568104
26,355,modelo 3,0.0090306,3.2451766,6.090400930858095,19.513393743177456,0.26137683294781855,1.125776521574632
27,186,modelo 2,0.0048983,1.9578901,117.81180405981071,703.7054425256034,1.4644281026361485,9.331411692558946
27,186,modelo 3,0.0055516,1.2929198,117.76422299796063,508.7011774575332,1.4612798106355702,5.920910675020087
28,306,modelo 2,0.0066303,1.1818025,45.553473391737995,126.3433901753854,0.568156411648731,2.1070596418907974
28,306,modelo 3,0.0085257,2.1652398,13.345641470194666,273.42181942004555,0.16552432840648507,4.62042316862607
29,290,modelo 2,0.0087387,1.0797263,129.47109658606936,761.0797508696041,1.5336024257642142,10.107562193592013
29,290,modelo 3,0.0061163,1.7855364,129.4046996546929,1190.943075300039,1.5281974051659235,16.018568712605806
30,450,modelo 2,0.0101698,2.2982682,11.718010762743981,166.06786189737022,0.9108428232861658,9.03126185919951
30,450,modelo 3,0.0099072,2.1373116,8.303146973717881,110.04462442813815,0.6234683020286736,6.211373713260504
31,362,modelo 2,0.0093719,9.8945221,17.87188889978451,258.4232424161925,1.0865313369936107,181.35700223849938
31,362,modelo 3,0.0066136,3.2352166,17.85443774152635,328.2483241768096,1.086117958910429,228.10999165679604
32,199,modelo 2,0.005627,0.9271244,29.488171840773536,454.0498607559231,0.23351466733592735,7.39734818270782
32,199,modelo 3,0.004738,1.4679064,38.41574518714493,356.360654178742,0.3277786495327676,5.583642542070593
33,330,modelo 2,0.0070591,1.9503457,113.8226437133413,11026.488634344862,2.444289731563216,152.04305844964796
33,330,modelo 3,0.0066921,3.1350734,113.62604448231781,11696.944845820899,2.373014220389156,161.07108029928924
34,69,modelo 2,0.0048536,0.4288564,63.85167882076251,1189.3136770167723,0.9594700311178357,36.43821566890592
34,69,modelo 3,0.0028829,1.1673965,88.46319945635622,828.2645704742732,1.3943233696456079,26.04357004038949
35,69,modelo 2,0.0032819,1.0283539,121.24777620722622,721.8072513844235,1.1425561431324867,13.388440833910348
35,69,modelo 3,0.0028486,0.600406,100.42188482274469,1256.5269679259047,0.9950995482411717,23.719815576516286
36,352,modelo 2,0.0074964,116.3153771,20.75222667083923,155.84963795019772,0.21624472343266676,1.7637789454495665
36,352,modelo 3,0.0065217,2.9197183,20.7545396325185,126.36335832679396,0.21603031782521853,1.3528416798020824
37,91,modelo 2,0.0036695,0.5226636,3.970089589652239,17.571847066797464,0.09814409413586124,0.44473296646409843
37,91,modelo 3,0.0044762,0.5992368,3.96946434626411,18.40684279348165,0.09786698775610932,0.46869280763698
38,69,modelo 2,0.003545,0.7706467,101.72266412237711,1449.2164814442986,1.2460246656057516,34.490487633588224
38,69,modelo 3,0.0026563,0.4916596,83.68236236099763,4305.552016836053,0.9086798553128081,110.3089133444766
39,151,modelo 2,0.0052598,0.4323491,386.78638301529867,36850.593252154365,3.3194074122927146,372.27280427426655
39,151,modelo 3,0.0042572,0.8531938,362.98668500374265,7269.859466942379,3.138588366689536,74.52220666329029
40,296,modelo 2,0.0064639,1.4396167,43.564784297962014,866.299367549772,0.7394638348682776,17.188204925728883
40,296,modelo 3,0.0057874,1.1605012,59.604867959064954,590.5288437064736,0.9898683605004548,11.562031867921974
41,262,modelo 2,0.008118,2.3092809,273.10606684893077,482.6369236624605,1.330111971558742,16.448773890800155
41,262,modelo 3,0.0057859,1.6504001,59.78430812125787,442.89712580474475,0.31112872068239067,15.151484482379182
