serie,T,modelo,t_create,t_optim,rmse_train,rmse_test,mape_train,mape_test
16,174,modelo 1,0.737406,304.3332942,247.13941470898789,3975.290124277148,7.424004313931248,125.98738716539364
16,174,modelo 2,0.004323,0.7326779,41.35498734181766,396.0714135182202,1.2270724421457324,10.955177387840763
16,174,modelo 3,0.0044496,0.662338,41.41603482075016,548.7753085194671,1.2338354594930696,15.763267175948473
17,218,modelo 1,1.5329577,311.5635511,4555.825855520501,9293.993206349052,49.773941241407286,91.98364341504475
17,218,modelo 2,0.0054926,1.0826915,146.47121607217966,2977.5890440117623,1.37561393393848,25.167471540696596
17,218,modelo 3,0.0054391,1.1579655,145.97623621868885,2746.302211039229,1.3586652759669662,23.818631018614905
18,61,modelo 1,0.0382931,47.5629789,349.67605650205564,13442.11768434114,5.712347807782843,161.74082278509556
18,61,modelo 2,0.0028977,0.1162361,361.4267436973491,7749.262110232808,5.6541476186581345,93.9764561375604
18,61,modelo 3,0.0031876,0.3178228,822.3433417325881,108386.21084760372,13.131798911519926,1324.221851299127
19,181,modelo 1,0.8295765,303.9860408,82.15530246606085,195.86160139258487,4.272471869178003,11.216087237151468
19,181,modelo 2,0.0043986,0.5453157,9.52026450905166,171.59525512194634,0.40717272395645987,8.985307030575902
19,181,modelo 3,0.0049346,0.7003828,6.7705094692968615,120.26125721080759,0.27795034412542396,6.305118405982213
20,306,modelo 1,5.0637745,322.6906678,222.84070029819787,358.8294008510678,2.061433507684395,4.182541503999691
20,306,modelo 2,0.0063096,1.7055477,31.935826910570803,150.23405218940331,0.2787094449209532,1.3640215537127658
20,306,modelo 3,0.0063817,1.2451323,31.935609760366226,150.0947726568861,0.2786569128834669,1.364822332602333
21,306,modelo 1,4.756431,317.7415549,73.07656847558842,113.71928614831333,3.728289097471629,6.549219622202735
21,306,modelo 2,0.0064861,0.8832795,9.780221085384536,44.47812061257853,0.5204257079123806,2.3213713170885426
21,306,modelo 3,0.0066499,24.6570045,9.778646708459183,44.57953898186961,0.5194963057959452,2.326557021313447
22,432,modelo 1,12.874568,404.4823781,122.98012331356719,94.89976077971983,6.072146469505305,3.4581084796205808
22,432,modelo 2,0.0083123,2.3554535,14.969387914408992,90.40687236421492,0.7619193000190019,3.14675678622771
22,432,modelo 3,0.008988,1.6210064,14.944222793410681,93.4919679236616,0.7562066818224754,3.2866877008146416
23,233,modelo 1,1.7900554,313.237781,610.4320928095239,845.5650243610321,5.315346460183163,7.342424141177319
23,233,modelo 2,0.0052747,0.7037553,25.03599144028833,1022.7841020710125,0.19950497811060813,8.572756382775056
23,233,modelo 3,0.0072156,299.9983236,25.2716316940043,582.5958738121071,0.21261799525480476,4.819506139772027
24,330,modelo 1,5.266789,341.087035,1314.5938928320884,5906.554418033268,20.684516973624696,21.50018117102205
24,330,modelo 2,0.0061209,0.9648607,284.2031936120132,3032.0532837238793,3.706935440427285,13.857936695973388
24,330,modelo 3,0.0061462,1.3088765,282.92756273655505,2885.8970077807535,3.854973027746548,11.46127753140273
25,69,modelo 1,0.0564082,51.6503636,14.253878499259008,588.6322960904166,1.0338508545340608,111.71327215582589
25,69,modelo 2,0.0035697,0.3018819,11.817705501448984,547.8546396491193,0.7918022202118741,103.36386107298598
25,69,modelo 3,0.0033071,0.2636387,14.273678482461,693.3529556945687,1.0429793048539189,132.52324934633688
26,355,modelo 1,7.7261211,359.9769637,77.88229268184794,53.046636260479595,5.013836259606064,3.23765336383697
26,355,modelo 2,0.0073766,10.8990558,6.091794436345824,17.099185517451648,0.2616329100928471,0.9903290393568104
26,355,modelo 3,0.0075773,2.491383,6.090400930858095,19.513393743177456,0.26137683294781855,1.125776521574632
27,186,modelo 1,1.4250948,307.7008152,1117.3270593415925,1092.3907560216583,15.64352176200865,13.882794919880364
27,186,modelo 2,0.0044664,1.619254,117.81180405981071,703.7054425256034,1.4644281026361485,9.331411692558946
27,186,modelo 3,0.0044552,0.9873154,117.76422299796063,508.7011774575332,1.4612798106355702,5.920910675020087
28,306,modelo 1,4.6911837,320.9861685,284.16823708690464,225.70991964489994,3.82913719825215,3.6838518326632395
28,306,modelo 2,0.0062623,0.8910418,45.553473391737995,126.3433901753854,0.568156411648731,2.1070596418907974
28,306,modelo 3,0.0065492,1.8142892,13.345641470194666,273.42181942004555,0.16552432840648507,4.62042316862607
29,290,modelo 1,3.9362718,343.3710843,5332.390755512212,6234.785955839319,75.31277186245518,95.99487394009248
29,290,modelo 2,0.0061996,0.9257985,129.47109658606936,761.0797508696041,1.5336024257642142,10.107562193592013
29,290,modelo 3,0.0072172,1.4052408,129.4046996546929,1190.943075300039,1.5281974051659235,16.018568712605806
30,450,modelo 1,16.5051454,457.1726511,0.0,1543.8374512615314,0.0,99.99999045660488
30,450,modelo 2,0.0176553,1.8519914,11.718010762743981,166.06786189737022,0.9108428232861658,9.03126185919951
30,450,modelo 3,0.0099064,1.7654685,8.303146973717881,110.04462442813815,0.6234683020286736,6.211373713260504
