serie,T,model,t create,t optim,rmse train,rmse test,mase test,status
7,170,model 3,0.0045802,1.2105494,2.4434679635973834e6,1.7984514452946475e8,42.94198447756986,LOCALLY_SOLVED
8,170,model 1,0.0154312,0.5990796,51.66036646756469,674.3471374775839,8.047027747792727,LOCALLY_SOLVED
8,170,model 2,0.0060044,0.5001111,52.03439937793908,834.0329915145509,9.862024912566016,LOCALLY_SOLVED
8,170,model 3,0.0044605,0.4024978,51.57748313256147,692.20049961691,8.225000658325179,LOCALLY_SOLVED
9,170,model 1,0.0150112,0.5910946,79.7726866521283,1573.4545068588357,0.4382948019978569,LOCALLY_SOLVED
9,170,model 2,0.0059399,0.7556498,78.14677016516866,1404.1637001924908,0.38844957033265526,LOCALLY_SOLVED
9,170,model 3,0.0045356,0.8220078,78.09648578135938,1458.2964956856272,0.40379231395938775,LOCALLY_SOLVED
10,170,model 1,0.0150012,0.4169417,24.991170827177378,459.48677176028974,0.23224876598899183,LOCALLY_SOLVED
10,170,model 2,0.0059373,0.3038588,25.35313518904384,539.7821577200756,0.27141520448327183,LOCALLY_SOLVED
10,170,model 3,0.0056909,0.4499519,25.12797936143958,464.3485265603797,0.23445448215473108,LOCALLY_SOLVED
11,170,model 1,0.0163157,0.9370609,281970.4185796209,1.0464288542501686e7,27.995890362579093,LOCALLY_SOLVED
11,170,model 2,0.0052029,0.1800661,275666.75680314586,4.95942982171121e6,13.731734811189872,LOCALLY_SOLVED
11,170,model 3,0.0235679,0.1072612,279378.3792774276,5.065249521419875e6,14.424838048846302,LOCALLY_SOLVED
12,170,model 1,0.0145159,4.0806266,0.010273619399578706,45.71417070445921,0.023434069094517607,LOCALLY_SOLVED
12,170,model 2,0.0060405,1.0093854,0.014679223645464303,44.551247856656865,0.021802186849329504,LOCALLY_SOLVED
12,170,model 3,0.0046072,1.3766608,0.014652210753865025,41.323140478933254,0.01985310395863449,LOCALLY_SOLVED
13,170,model 1,0.0172499,5.7907096,0.021092279780749144,107.45736852284945,0.1642102650191116,LOCALLY_SOLVED
13,170,model 2,0.004813,26.2303096,0.021223279552135068,119.48922666530798,0.18391820137399,LOCALLY_SOLVED
13,170,model 3,0.0047291,4.8308905,0.02119989139482253,113.49441140041532,0.17358720635543376,LOCALLY_SOLVED
14,170,model 1,0.0148171,1.0020977,0.011785670520579996,23.160942207945812,0.11277277962938065,LOCALLY_SOLVED
14,170,model 2,0.0045871,0.6136777,0.013548087051872793,25.44850857576343,0.13118474822230683,LOCALLY_SOLVED
